TLD,original word,word with vowels removed
lc,public,pblc
lc,public,pblc
lc,place,plc
lc,police,plc
lc,place,plc
lc,palace,plc
lc,republic,rpblc
lc,replace,rplc
lc,slice,slc
lc,slice,slc
lc,symbolic,symblc
lc,workplace,wrkplc
lk,bulk,blk
lk,folk,flk
lk,milk,mlk
lk,unlike,nlk
lk,unlike,nlk
lk,sidewalk,sdwlk
lk,silk,slk
lk,talk,tlk
lk,talk,tlk
lk,overlook,vrlk
lk,walk,wlk
lk,walk,wlk
lr,collar,cllr
lr,clear,clr
lr,color,clr
lr,clear,clr
lr,color,clr
lr,counselor,cnslr
lr,declare,dclr
lr,dealer,dlr
lr,floor,flr
lr,failure,flr
lr,flour,flr
lr,familiar,fmlr
lr,killer,kllr
lr,nuclear,nclr
lr,popular,pplr
lr,particular,prtclr
lr,particular,prtclr
lr,regular,rglr
lr,retailer,rtlr
lr,scholar,schlr
lr,secular,sclr
lr,seller,sllr
lr,solar,slr
lr,similar,smlr
lr,spectacular,spctclr
lr,supplier,spplr
lr,trailer,trlr
lr,traveler,trvlr
lr,explore,xplr
ls,close,cls
ls,close,cls
ls,close,cls
ls,disclose,dscls
ls,false,fls
ls,impulse,mpls
ls,please,pls
ls,plus,pls
ls,please,pls
ls,pulse,pls
ls,ridiculous,rdcls
ls,release,rls
ls,release,rls
ls,sales,sls
ls,stimulus,stmls
lt,bullet,bllt
lt,ballot,bllt
lt,belt,blt
lt,bolt,blt
lt,absolute,bslt
lt,chocolate,chclt
lt,calculate,clclt
lt,complete,cmplt
lt,complete,cmplt
lt,consult,cnslt
lt,contemplate,cntmplt
lt,difficult,dffclt
lt,adult,dlt
lt,flat,flt
lt,fault,flt
lt,float,flt
lt,fleet,flt
lt,guilt,glt
lt,melt,mlt
lt,manipulate,mnplt
lt,plate,plt
lt,pilot,plt
lt,plot,plt
lt,regulate,rglt
lt,relate,rlt
lt,result,rslt
lt,result,rslt
lt,articulate,rtclt
lt,salt,slt
lt,isolate,slt
lt,slot,slt
lt,speculate,spclt
lt,split,splt
lt,assault,sslt
lt,satellite,stllt
lt,stimulate,stmlt
lt,athlete,thlt
lt,toilet,tlt
lt,outlet,tlt
lt,translate,trnslt
lt,evaluate,vlt
lt,violate,vlt
lt,exploit,xplt
lv,believe,blv
lv,dissolve,dsslv
lv,glove,glv
lv,involve,nvlv
lv,relieve,rlv
lv,resolve,rslv
lv,solve,slv
lv,slave,slv
lv,sleeve,slv
lv,twelve,twlv
lv,evolve,vlv
ly,badly,bdly
ly,belly,blly
ly,briefly,brfly
ly,barely,brly
ly,basically,bsclly
ly,absolutely,bsltly
ly,butterfly,bttrfly
ly,obviously,bvsly
ly,accurately,ccrtly
ly,occasionally,ccsnlly
ly,clearly,clrly
ly,closely,clsly
ly,clay,cly
ly,commonly,cmmnly
ly,completely,cmpltly
ly,comply,cmply
ly,economically,cnmclly
ly,considerably,cnsdrbly
ly,consequently,cnsqntly
ly,consistently,cnsstntly
ly,constantly,cnstntly
ly,carefully,crflly
ly,correctly,crrctly
ly,currently,crrntly
ly,certainly,crtnly
ly,costly,cstly
ly,actually,ctlly
ly,actively,ctvly
ly,deadly,ddly
ly,differently,dffrntly
ly,definitely,dfntly
ly,deliberately,dlbrtly
ly,daily,dly
ly,delay,dly
ly,delay,dly
ly,daily,dly
ly,deeply,dply
ly,deploy,dply
ly,directly,drctly
ly,dramatically,drmtclly
ly,display,dsply
ly,display,dsply
ly,desperately,dsprtly
ly,officially,ffclly
ly,effectively,ffctvly
ly,fully,flly
ly,fly,fly
ly,fly,fly
ly,family,fmly
ly,finally,fnlly
ly,fairly,frly
ly,freely,frly
ly,firmly,frmly
ly,formerly,frmrly
ly,friendly,frndly
ly,frankly,frnkly
ly,frequently,frqntly
ly,fortunately,frtntly
ly,ugly,gly
ly,generally,gnrlly
ly,gently,gntly
ly,gradually,grdlly
ly,greatly,grtly
ly,highly,hghly
ly,holy,hly
ly,honestly,hnstly
ly,hopefully,hpflly
ly,happily,hpply
ly,hardly,hrdly
ly,historically,hstrclly
ly,heavily,hvly
ly,elderly,ldrly
ly,lightly,lghtly
ly,legally,lglly
ly,likely,lkly
ly,likely,lkly
ly,allegedly,llgdly
ly,ally,lly
ly,alley,lly
ly,lonely,lnly
ly,largely,lrgly
ly,lately,ltly
ly,ultimately,ltmtly
ly,literally,ltrlly
ly,lovely,lvly
ly,immediately,mmdtly
ly,mainly,mnly
ly,monthly,mnthly
ly,mentally,mntlly
ly,employee,mply
ly,employ,mply
ly,imply,mply
ly,importantly,mprtntly
ly,merely,mrly
ly,mostly,mstly
ly,emotionally,mtnlly
ly,incredibly,ncrdbly
ly,increasingly,ncrsngly
ly,necessarily,ncssrly
ly,unfortunately,nfrtntly
ly,unlikely,nlkly
ly,only,nly
ly,only,nly
ly,annually,nnlly
ly,nearly,nrly
ly,normally,nrmlly
ly,instantly,nstntly
ly,initially,ntlly
ly,naturally,ntrlly
ly,entirely,ntrly
ly,inevitably,nvtbly
ly,newly,nwly
ly,publicly,pblcly
ly,physically,physclly
ly,politically,pltclly
ly,play,ply
ly,play,ply
ly,openly,pnly
ly,apply,pply
ly,apparently,pprntly
ly,approximately,pprxmtly
ly,probably,prbbly
ly,precisely,prcsly
ly,practically,prctclly
ly,perfectly,prfctly
ly,primarily,prmrly
ly,properly,prprly
ly,presumably,prsmbly
ly,personally,prsnlly
ly,particularly,prtclrly
ly,partially,prtlly
ly,partly,prtly
ly,previously,prvsly
ly,privately,prvtly
ly,possibly,pssbly
ly,potentially,ptntlly
ly,quickly,qckly
ly,equally,qlly
ly,quietly,qtly
ly,recently,rcntly
ly,readily,rdly
ly,roughly,rghly
ly,regularly,rglrly
ly,originally,rgnlly
ly,really,rlly
ly,rally,rlly
ly,relatively,rltvly
ly,early,rly
ly,early,rly
ly,rely,rly
ly,ironically,rnclly
ly,rapidly,rpdly
ly,reply,rply
ly,reportedly,rprtdly
ly,repeatedly,rptdly
ly,rarely,rrly
ly,respectively,rspctvly
ly,routinely,rtnly
ly,substantially,sbstntlly
ly,successfully,sccssflly
ly,socially,sclly
ly,suddenly,sddnly
ly,safely,sfly
ly,softly,sftly
ly,significantly,sgnfcntly
ly,sharply,shrply
ly,shortly,shrtly
ly,slightly,slghtly
ly,usually,slly
ly,silly,slly
ly,solely,slly
ly,slowly,slwly
ly,easily,sly
ly,similarly,smlrly
ly,simultaneously,smltnsly
ly,seemingly,smngly
ly,simply,smply
ly,specifically,spcfclly
ly,especially,spclly
ly,supply,spply
ly,supply,spply
ly,supposedly,sppsdly
ly,surely,srly
ly,surprisingly,srprsngly
ly,seriously,srsly
ly,assembly,ssmbly
ly,essentially,ssntlly
ly,steadily,stdly
ly,strictly,strctly
ly,strongly,strngly
ly,severely,svrly
ly,sexually,sxlly
ly,tightly,tghtly
ly,thoroughly,thrghly
ly,automatically,tmtclly
ly,traditionally,trdtnlly
ly,truly,trly
ly,terribly,trrbly
ly,totally,ttlly
ly,typically,typclly
ly,valley,vlly
ly,eventually,vntlly
ly,virtually,vrtlly
ly,widely,wdly
ly,weekly,wkly
ly,exclusively,xclsvly
ly,exactly,xctly
ly,extremely,xtrmly
mc,academic,cdmc
mc,economic,cnmc
mc,dynamic,dynmc
mc,epidemic,pdmc
mc,Islamic,slmc
md,armed,rmd
mg,damage,dmg
mg,damage,dmg
mk,smoke,smk
mk,smoke,smk
ml,female,fml
ml,female,fml
ml,formal,frml
ml,formula,frml
ml,minimal,mnml
ml,informal,nfrml
ml,animal,nml
ml,normal,nrml
ml,smile,sml
ml,smile,sml
mn,German,Grmn
mn,German,Grmn
mn,Roman,Rmn
mn,businessman,bsnssmn
mn,chairman,chrmn
mn,column,clmn
mn,common,cmmn
mn,condemn,cndmn
mn,domain,dmn
mn,damn,dmn
mn,determine,dtrmn
mn,freshman,frshmn
mn,fisherman,fshrmn
mn,gentleman,gntlmn
mn,human,hmn
mn,human,hmn
mn,hormone,hrmn
mn,lemon,lmn
mn,immune,mmn
mn,undermine,ndrmn
mn,nominee,nmn
mn,policeman,plcmn
mn,remain,rmn
mn,salmon,slmn
mn,someone,smn
mn,spokesman,spksmn
mn,vitamin,vtmn
mn,woman,wmn
mn,examine,xmn
mp,camp,cmp
mp,dump,dmp
mp,jump,jmp
mp,jump,jmp
mp,lamp,lmp
mp,pump,pmp
mp,pump,pmp
mp,shrimp,shrmp
mr,camera,cmr
mr,consumer,cnsmr
mr,customer,cstmr
mr,admire,dmr
mr,former,frmr
mr,farmer,frmr
mr,furthermore,frthrmr
mr,humor,hmr
mr,nightmare,nghtmr
mr,anymore,nymr
mr,performer,prfrmr
mr,rumor,rmr
mr,summer,smmr
mr,astronomer,strnmr
mr,tumor,tmr
ms,Christmas,Chrstms
ms,compromise,cmprms
ms,compromise,cmprms
ms,famous,fms
ms,anonymous,nnyms
ms,enormous,nrms
ms,promise,prms
ms,promise,prms
ms,premise,prms
ms,sometimes,smtms
ms,terms,trms
mt,climate,clmt
mt,commit,cmmt
mt,admit,dmt
mt,diplomat,dplmt
mt,format,frmt
mt,helmet,hlmt
mt,legitimate,lgtmt
mt,limit,lmt
mt,limit,lmt
mt,ultimate,ltmt
mt,inmate,nmt
mt,intimate,ntmt
mt,promote,prmt
mt,permit,prmt
mt,permit,prmt
mt,remote,rmt
mt,submit,sbmt
mt,summit,smmt
mt,estimate,stmt
mt,estimate,stmt
mt,teammate,tmmt
mt,tomato,tmt
mt,transmit,trnsmt
mv,remove,rmv
my,economy,cnmy
my,enemy,nmy
my,army,rmy
my,autonomy,tnmy
nc,Hispanic,Hspnc
nc,balance,blnc
nc,balance,blnc
nc,bounce,bnc
nc,absence,bsnc
nc,acceptance,ccptnc
nc,chance,chnc
nc,chronic,chrnc
nc,clinic,clnc
nc,compliance,cmplnc
nc,confidence,cnfdnc
nc,conference,cnfrnc
nc,conscience,cnscnc
nc,consequence,cnsqnc
nc,convince,cnvnc
nc,convenience,cnvnnc
nc,circumstance,crcmstnc
nc,difference,dffrnc
nc,audience,dnc
nc,dance,dnc
nc,dance,dnc
nc,distance,dstnc
nc,advance,dvnc
nc,advance,dvnc
nc,fence,fnc
nc,finance,fnnc
nc,finance,fnnc
nc,guidance,gdnc
nc,glance,glnc
nc,glance,glnc
nc,hence,hnc
nc,electronic,lctrnc
nc,alliance,llnc
nc,mechanic,mchnc
nc,maintenance,mntnnc
nc,importance,mprtnc
nc,independence,ndpndnc
nc,influence,nflnc
nc,influence,nflnc
nc,enhance,nhnc
nc,announce,nnnc
nc,insurance,nsrnc
nc,instance,nstnc
nc,intelligence,ntllgnc
nc,entrance,ntrnc
nc,panic,pnc
nc,appearance,pprnc
nc,performance,prfrmnc
nc,preference,prfrnc
nc,presence,prsnc
nc,province,prvnc
nc,patience,ptnc
nc,reference,rfrnc
nc,organic,rgnc
nc,romance,rmnc
nc,residence,rsdnc
nc,resistance,rsstnc
nc,substance,sbstnc
nc,science,scnc
nc,significance,sgnfcnc
nc,silence,slnc
nc,since,snc
nc,since,snc
nc,since,snc
nc,sentence,sntnc
nc,sequence,sqnc
nc,surveillance,srvllnc
nc,essence,ssnc
nc,assistance,ssstnc
nc,stance,stnc
nc,ethnic,thnc
nc,tolerance,tlrnc
nc,attendance,ttndnc
nc,evidence,vdnc
nc,violence,vlnc
nc,experience,xprnc
nc,experience,xprnc
nc,existence,xstnc
nf,knife,knf
ng,Thanksgiving,Thnksgvng
ng,beginning,bgnnng
ng,building,bldng
ng,belong,blng
ng,blessing,blssng
ng,bombing,bmbng
ng,being,bng
ng,banking,bnkng
ng,bring,brng
ng,boring,brng
ng,burning,brnng
ng,breathing,brthng
ng,accounting,ccntng
ng,according,ccrdng
ng,challenge,chllng
ng,challenge,chllng
ng,change,chng
ng,change,chng
ng,changing,chngng
ng,cooking,ckng
ng,ceiling,clng
ng,cling,clng
ng,clothing,clthng
ng,coming,cmng
ng,compelling,cmpllng
ng,concerning,cncrnng
ng,counseling,cnslng
ng,continuing,cntnng
ng,dancing,dncng
ng,dining,dnng
ng,depending,dpndng
ng,during,drng
ng,drinking,drnkng
ng,driving,drvng
ng,drawing,drwng
ng,disturbing,dstrbng
ng,developing,dvlpng
ng,advertising,dvrtsng
ng,devastating,dvsttng
ng,dying,dyng
ng,fucking,fckng
ng,offering,ffrng
ng,fighting,fghtng
ng,following,fllwng
ng,feeling,flng
ng,flying,flyng
ng,finding,fndng
ng,funding,fndng
ng,fascinating,fscntng
ng,fishing,fshng
ng,gang,gng
ng,growing,grwng
ng,gathering,gthrng
ng,hang,hng
ng,hunting,hntng
ng,hearing,hrng
ng,housing,hsng
ng,killing,kllng
ng,king,kng
ng,leading,ldng
ng,lighting,lghtng
ng,lightning,lghtnng
ng,landing,lndng
ng,long,lng
ng,long,lng
ng,along,lng
ng,along,lng
ng,long,lng
ng,lung,lng
ng,learning,lrnng
ng,living,lvng
ng,living,lvng
ng,manufacturing,mnfctrng
ng,among,mng
ng,manage,mng
ng,managing,mngng
ng,meaning,mnng
ng,emerging,mrgng
ng,marketing,mrktng
ng,morning,mrnng
ng,missing,mssng
ng,meeting,mtng
ng,amazing,mzng
ng,including,ncldng
ng,encouraging,ncrgng
ng,increasing,ncrsng
ng,underlying,ndrlyng
ng,understanding,ndrstndng
ng,neighboring,nghbrng
ng,ongoing,ngng
ng,engineering,ngnrng
ng,nothing,nthng
ng,interesting,ntrstng
ng,anything,nythng
ng,plunge,plng
ng,planning,plnnng
ng,opening,pnng
ng,painting,pntng
ng,processing,prcssng
ng,programming,prgrmmng
ng,parking,prkng
ng,promising,prmsng
ng,operating,prtng
ng,passing,pssng
ng,recording,rcrdng
ng,reading,rdng
ng,regarding,rgrdng
ng,rolling,rllng
ng,ruling,rlng
ng,remaining,rmnng
ng,range,rng
ng,ring,rng
ng,range,rng
ng,ring,rng
ng,orange,rng
ng,orange,rng
ng,running,rnnng
ng,running,rnnng
ng,reporting,rprtng
ng,arrange,rrng
ng,rating,rtng
ng,sibling,sblng
ng,screening,scrnng
ng,suffering,sffrng
ng,shopping,shppng
ng,shooting,shtng
ng,something,smthng
ng,song,sng
ng,sing,sng
ng,spending,spndng
ng,spring,sprng
ng,spring,sprng
ng,surprising,srprsng
ng,surrounding,srrndng
ng,serving,srvng
ng,standing,stndng
ng,striking,strkng
ng,strong,strng
ng,strange,strng
ng,string,strng
ng,starting,strtng
ng,setting,sttng
ng,saving,svng
ng,swimming,swmmng
ng,swing,swng
ng,swing,swng
ng,teaching,tchng
ng,thing,thng
ng,thinking,thnkng
ng,timing,tmng
ng,tongue,tng
ng,teenage,tng
ng,eating,tng
ng,trading,trdng
ng,training,trnng
ng,outstanding,tstndng
ng,testing,tstng
ng,evening,vnng
ng,overwhelming,vrwhlmng
ng,everything,vrythng
ng,voting,vtng
ng,wedding,wddng
ng,walking,wlkng
ng,willing,wllng
ng,wing,wng
ng,working,wrkng
ng,wrong,wrng
ng,wrong,wrng
ng,warning,wrnng
ng,writing,wrtng
ng,exchange,xchng
ng,exchange,xchng
ng,exciting,xctng
ng,existing,xstng
ng,young,yng
nl,occasional,ccsnl
nl,channel,chnnl
nl,colonial,clnl
nl,congressional,cngrssnl
nl,constitutional,cnstttnl
nl,conventional,cnvntnl
nl,criminal,crmnl
nl,criminal,crmnl
nl,educational,dctnl
nl,additional,ddtnl
nl,denial,dnl
nl,functional,fnctnl
nl,final,fnl
nl,final,fnl
nl,journal,jrnl
nl,kneel,knl
nl,manual,mnl
nl,emotional,mtnl
nl,annual,nnl
nl,instructional,nstrctnl
nl,institutional,nstttnl
nl,national,ntnl
nl,internal,ntrnl
nl,international,ntrntnl
nl,panel,pnl
nl,professional,prfssnl
nl,professional,prfssnl
nl,personal,prsnl
nl,personnel,prsnnl
nl,original,rgnl
nl,regional,rgnl
nl,organizational,rgnztnl
nl,rational,rtnl
nl,signal,sgnl
nl,signal,sgnl
nl,tunnel,tnnl
nl,traditional,trdtnl
nl,external,xtrnl
nr,commissioner,cmmssnr
nr,container,cntnr
nr,corner,crnr
nr,dinner,dnnr
nr,donor,dnr
nr,designer,dsgnr
nr,foreigner,frgnr
nr,ignore,gnr
nr,genre,gnr
nr,governor,gvrnr
nr,honor,hnr
nr,honor,hnr
nr,junior,jnr
nr,listener,lstnr
nr,manner,mnnr
nr,minor,mnr
nr,engineer,ngnr
nr,inner,nnr
nr,entrepreneur,ntrprnr
nr,planner,plnnr
nr,pioneer,pnr
nr,practitioner,prcttnr
nr,prisoner,prsnr
nr,partner,prtnr
nr,questionnaire,qstnnr
nr,runner,rnnr
nr,scenario,scnr
nr,seminar,smnr
nr,senior,snr
nr,senior,snr
nr,trainer,trnr
nr,winner,wnnr
nr,owner,wnr
nz,bronze,brnz
nz,recognize,rcgnz
nz,organize,rgnz
ph,photograph,phtgrph
ph,photograph,phtgrph
ph,triumph,trmph
pk,speak,spk
pl,compel,cmpl
pl,couple,cpl
pl,multiple,mltpl
pl,municipal,mncpl
pl,people,ppl
pl,appeal,ppl
pl,apple,ppl
pl,appeal,ppl
pl,principle,prncpl
pl,principal,prncpl
pl,principal,prncpl
pl,purple,prpl
pl,simple,smpl
pl,sample,smpl
pl,temple,tmpl
pl,example,xmpl
pn,champion,chmpn
pn,happen,hppn
pn,European,rpn
pn,European,rpn
pn,spin,spn
pn,spoon,spn
pn,spine,spn
pn,tablespoon,tblspn
pn,teaspoon,tspn
pn,weapon,wpn
pr,compare,cmpr
pr,disappear,dsppr
pr,developer,dvlpr
pr,empire,mpr
pr,inspire,nspr
pr,newspaper,nwsppr
pr,pepper,pppr
pr,appear,ppr
pr,paper,ppr
pr,upper,ppr
pr,prepare,prpr
pr,proper,prpr
pr,repair,rpr
pr,repair,rpr
pr,super,spr
pr,spare,spr
pr,whisper,whspr
ps,collapse,cllps
ps,collapse,cllps
ps,campus,cmps
ps,compose,cmps
ps,glimpse,glmps
ps,impose,mps
ps,oppose,pps
ps,perhaps,prhps
ps,purpose,prps
ps,propose,prps
ps,suppose,spps
ps,spouse,sps
ps,expose,xps
